longitude,latitude,severity_label
-1.22722,54.57219,Slight
-1.29265,54.54466,Slight
-2.53157,53.41443,Slight
-2.5163,53.67359,Serious
-2.50416,53.76592,Serious
-0.09323,53.52234,Slight
-0.66503,53.57841,Slight
-1.10184,53.98933,Slight
-1.42873,52.89721,Slight
-1.47138,52.89648,Slight
-1.48545,52.92485,Slight
-1.47151,52.93401,Slight
-1.06445,52.63051,Slight
-2.1834,52.99021,Slight
-2.94869,51.34909,Slight
-2.69938,51.57405,Slight
-2.40864,51.47457,Slight
-2.56056,51.52265,Slight
-4.03454,50.38814,Slight
-1.63827,51.55293,Slight
-0.08083,52.6239,Serious
-0.41161,51.88067,Slight
0.70141,51.55675,Slight
0.5431,51.3756,Slight
0.56833,51.37104,Slight
0.52141,51.35744,Slight
0.4969,51.35991,Serious
-0.58983,51.51822,Slight
-0.71887,51.51267,Slight
-0.59158,51.46577,Slight
-1.05648,50.79199,Slight
-1.08637,50.81251,Slight
-1.09111,50.84322,Serious
-1.4106,50.93518,Serious
-1.533,54.7779,Slight
-1.46196,54.64556,Serious
-2.34358,52.46348,Slight
-0.44567,52.13457,Slight
-0.48553,52.13198,Serious
-2.42856,54.96962,Slight
-0.66362,52.25569,Slight
-0.69858,52.3861,Slight
-3.51665,54.61674,Slight
-2.98605,54.95515,Slight
-2.87219,54.2259,Serious
-2.7487,54.33781,Slight
-2.71402,54.23822,Slight
-2.11598,53.53796,Slight
-2.23517,53.56614,Slight
-2.25398,53.48239,Slight
-2.26487,53.51569,Slight
-2.06307,53.44115,Serious
-2.6589,53.52154,Slight
-2.56744,53.46771,Slight
-2.60529,53.54349,Slight
-2.78456,53.42099,Slight
-2.77128,53.46465,Slight
-2.96644,53.66217,Slight
-2.98825,53.47512,Slight
-1.30208,53.53435,Serious
-1.45443,53.50245,Serious
-1.57582,53.56388,Serious
-1.36872,53.45536,Slight
-1.43446,55.02313,Slight
-1.42991,55.02653,Slight
-1.54411,55.04019,Serious
-1.50135,54.94424,Fatal
-1.419,54.9724,Serious
-1.53977,54.9019,Slight
-1.4418,54.89672,Slight
-2.07049,52.51322,Slight
-1.73063,52.38761,Slight
-1.99894,52.57025,Slight
-2.11335,52.58475,Slight
0.10478,51.55004,Slight
0.14075,51.581,Slight
0.15746,51.54594,Slight
0.12075,51.55111,Serious
0.13515,51.54781,Slight
0.13614,51.45483,Serious
-0.33203,51.59138,Slight
-0.37145,51.57256,Slight
-0.35191,51.56551,Serious
-0.25304,51.38859,Serious
-0.22226,51.40725,Slight
-0.35599,51.44743,Slight
0.00225,51.57402,Slight
-3.83916,55.99974,Slight
-3.91079,56.01219,Slight
-4.79828,57.18144,Serious
-4.17247,57.46482,Serious
-4.00883,57.77949,Serious
-6.17388,57.29028,Slight
-3.31636,57.64763,Slight
-4.63002,55.46686,Serious
-2.12662,57.36784,Slight
-2.15389,57.22192,Serious
-3.2765,55.90663,Slight
-4.42517,55.86265,Slight
-2.87313,56.46688,Fatal
-2.8861,56.49069,Slight
-2.80387,56.33127,Serious
-3.34851,56.28788,Serious
-3.80372,55.82252,Slight
-3.79079,53.28215,Slight
-3.90528,52.41273,Serious
-4.15422,52.1534,Serious
-4.59508,51.96492,Slight
-4.21822,51.74896,Serious
-3.43578,51.61613,Slight
-3.25659,51.70224,Slight
-2.98446,51.57911,Slight
-3.41775,52.14919,Serious
-3.39332,51.94786,Slight
-3.33925,51.67936,Slight
-0.95625,54.536,Slight
-1.35929,54.58204,Slight
-2.73505,53.35929,Slight
-2.7794,53.36543,Slight
-2.44338,53.74494,Slight
-0.04183,53.56606,Fatal
-0.64035,53.58604,Serious
-1.10174,53.94644,Serious
-1.48098,52.89854,Serious
-2.719,52.19941,Slight
-3.04462,52.19878,Slight
-2.8258,51.33323,Slight
-2.76537,51.48646,Slight
-2.69144,51.39525,Slight
-0.44197,51.90444,Serious
-0.43203,51.88686,Serious
-0.43095,51.88738,Slight
0.67459,51.56654,Slight
0.69168,51.55925,Slight
0.3545,51.47893,Slight
0.28885,51.4839,Slight
0.50798,51.38255,Serious
0.55277,51.37343,Slight
0.58899,51.34933,Serious
0.59743,51.34886,Slight
-0.97769,51.45627,Slight
-0.60428,51.50657,Slight
-0.73134,51.97357,Slight
-1.09092,50.79934,Slight
-1.08006,50.81371,Slight
-1.07681,50.79697,Slight
-1.41237,50.91551,Slight
-1.40454,50.9069,Slight
-1.38918,50.9101,Slight
-1.41914,50.65074,Serious
-1.82997,54.85216,Slight
-1.78121,54.83898,Serious
-2.75745,52.69879,Serious
-2.72314,52.69074,Slight
-0.47479,52.13857,Serious
-2.15448,54.99346,Slight
-2.04067,54.96684,Slight
-2.11106,54.98448,Slight
-0.57402,52.31124,Serious
-0.69799,52.48907,Slight
-0.69532,52.29489,Serious
-3.58463,54.54397,Slight
-3.58748,54.55073,Slight
-2.58319,54.37261,Slight
-2.47973,54.57272,Serious
-2.41917,53.56664,Slight
-2.3955,53.58898,Serious
-2.21696,53.39272,Serious
-2.17959,53.40843,Slight
-2.68097,53.58868,Slight
-2.84814,53.4204,Serious
-2.71497,53.42077,Slight
-2.97824,53.47368,Slight
-3.03149,53.35776,Serious
-1.31615,53.54283,Slight
-1.32538,53.52041,Serious
-1.39396,53.5242,Serious
-1.37934,53.40835,Slight
-1.65435,55.00401,Slight
-1.63915,54.97336,Slight
-1.581,55.04731,Slight
-1.50946,55.01126,Slight
-1.44789,55.00859,Slight
-1.43509,54.97695,Slight
-1.52145,54.90298,Slight
-2.11458,52.47402,Slight
-2.13033,52.51754,Slight
-2.09405,52.54737,Slight
-1.78466,52.44433,Slight
-1.98816,52.59931,Slight
-2.02712,52.59446,Slight
-1.88004,52.56876,Slight
-1.99023,52.6023,Slight
-2.09281,52.54928,Slight
-1.60499,54.95997,Slight
-1.59866,54.95741,Slight
-1.62273,54.93842,Slight
-0.09304,51.51116,Slight
0.1603,51.55186,Slight
0.13986,51.55134,Slight
0.15189,51.55012,Slight
0.16858,51.45244,Slight
0.10193,51.43075,Slight
0.11736,51.44134,Slight
-0.37968,51.57168,Slight
-0.35777,51.56144,Serious
-0.28008,51.38262,Slight
-0.30145,51.36872,Slight
-0.14143,51.40996,Serious
-0.20149,51.41467,Slight
-0.15583,51.40862,Slight
-0.19879,51.43477,Slight
-0.33689,51.4452,Serious
-0.33692,51.45385,Serious
-0.19331,51.35803,Serious
-0.21168,51.3857,Serious
-0.02104,51.57336,Serious
-0.0061,51.55691,Slight
0.00372,51.56659,Slight
-3.61697,55.06111,Serious
-3.4821,55.33685,Serious
-3.61814,55.06876,Serious
-3.65285,56.00479,Slight
-2.99381,57.65292,Serious
-3.77767,55.67229,Serious
-4.21608,56.24408,Fatal
-3.19321,55.97795,Slight
-3.16685,55.92527,Slight
-4.41149,55.84322,Slight
-3.52099,55.89659,Serious
-2.81794,56.50955,Slight
-2.79523,56.6837,Serious
-2.66382,56.61737,Slight
-3.18408,56.20222,Serious
-3.15743,56.11813,Slight
-3.43103,56.21863,Slight
-4.27383,53.14042,Slight
-3.81854,53.31711,Slight
-3.09153,53.18573,Serious
-3.18627,53.23948,Serious
-4.41628,52.14132,Serious
-4.19904,52.21061,Serious
-5.04352,51.72368,Serious
-4.91802,51.67506,Serious
-4.23235,51.6885,Slight
-4.07277,51.85918,Serious
-4.16849,51.77839,Serious
-3.69511,51.48567,Slight
-3.17037,51.46447,Slight
-3.2072,51.50941,Slight
-3.11692,51.53075,Slight
-3.4626,51.62499,Slight
-3.2178,51.57577,Slight
-3.22233,51.74236,Slight
-3.00381,51.55438,Slight
-2.95437,51.57572,Slight
-3.32672,52.53257,Slight
-1.16823,54.52854,Slight
-1.17501,54.58028,Slight
-2.58663,53.39109,Slight
-3.00088,53.8028,Slight
-3.0374,53.80369,Slight
-0.2304,53.61153,Fatal
-1.09074,53.96533,Slight
-1.45381,52.88891,Serious
-1.15167,52.66688,Slight
-2.73578,51.89352,Slight
-2.69979,52.05788,Fatal
